127.0.0.1 - - [03/May/2017:21:09:11 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [03/May/2017:21:09:12 +0300] "GET /Link_Service/mainview.jsp HTTP/1.1" 200 5278
0:0:0:0:0:0:0:1 - - [03/May/2017:21:09:12 +0300] "GET /Link_Service/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2017:21:09:12 +0300] "GET /Link_Service/images/add.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2017:21:09:13 +0300] "GET /Link_Service/Servlet_BoardsAjax HTTP/1.1" 200 89
127.0.0.1 - - [03/May/2017:21:09:19 +0300] "GET /Link_Service/mainview.jsp HTTP/1.1" 200 5278
127.0.0.1 - - [03/May/2017:21:09:19 +0300] "GET /Link_Service/style.css HTTP/1.1" 304 -
127.0.0.1 - - [03/May/2017:21:09:19 +0300] "GET /Link_Service/images/add.png HTTP/1.1" 304 -
127.0.0.1 - - [03/May/2017:21:09:19 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
127.0.0.1 - - [03/May/2017:21:09:20 +0300] "GET /Link_Service/Servlet_BoardsAjax HTTP/1.1" 200 89
127.0.0.1 - - [03/May/2017:21:09:25 +0300] "GET /Link_Service/Servlet_GetLinks?keyword= HTTP/1.1" 200 9582
127.0.0.1 - - [03/May/2017:21:09:25 +0300] "GET /Link_Service/images/no_image.png HTTP/1.1" 304 -
127.0.0.1 - - [03/May/2017:21:09:25 +0300] "GET /Link_Service/images/edit3.png HTTP/1.1" 304 -
127.0.0.1 - - [03/May/2017:21:09:25 +0300] "GET /Link_Service/Servlet_BoardsAjax HTTP/1.1" 200 89
127.0.0.1 - - [03/May/2017:21:09:37 +0300] "GET /Link_Service/Servlet_EditLink?Link_id=muokkaa_10 HTTP/1.1" 200 2610
127.0.0.1 - - [03/May/2017:21:09:37 +0300] "GET /Link_Service/Servlet_BoardsAjax HTTP/1.1" 200 89
127.0.0.1 - - [03/May/2017:21:09:44 +0300] "POST /Link_Service/Servlet_EditLink HTTP/1.1" 302 -
127.0.0.1 - - [03/May/2017:21:09:44 +0300] "GET /Link_Service/Servlet_GetLinks?keyword=testi+testi+testi+muokattu HTTP/1.1" 200 5612
127.0.0.1 - - [03/May/2017:21:09:45 +0300] "GET /Link_Service/Servlet_BoardsAjax HTTP/1.1" 200 89
127.0.0.1 - - [03/May/2017:21:09:46 +0300] "GET /Link_Service/Servlet_GetLinks?keyword= HTTP/1.1" 200 9588
127.0.0.1 - - [03/May/2017:21:09:47 +0300] "GET /Link_Service/Servlet_BoardsAjax HTTP/1.1" 200 89
127.0.0.1 - - [03/May/2017:21:10:14 +0300] "GET /Link_Service/Servlet_DeleteLink?Link_id=poista_10 HTTP/1.1" 302 -
127.0.0.1 - - [03/May/2017:21:10:14 +0300] "GET /Link_Service/Servlet_GetLinks?keyword= HTTP/1.1" 200 9254
127.0.0.1 - - [03/May/2017:21:10:14 +0300] "GET /Link_Service/Servlet_BoardsAjax HTTP/1.1" 200 89
127.0.0.1 - - [03/May/2017:21:10:19 +0300] "GET /Link_Service/Servlet_GetLinks?keyword= HTTP/1.1" 200 9254
127.0.0.1 - - [03/May/2017:21:10:19 +0300] "GET /Link_Service/Servlet_BoardsAjax HTTP/1.1" 200 89
